Systems;Ligand;Exp. dG;Pred. dG;Pred. Error;Rel. dG;;Error;Error^2;
BACE;CAT-4o;-9,38;-8,67;1,14;0,16;;0,71;0,5041;
;CAT-13e;-9,96;-10,49;1,23;-1,66;;0,53;0,2809;
;CAT-17b;-10,02;-10,91;1,18;-2,08;;0,89;0,7921;
;CAT-13k;-9,7;-9,4;1,01;-0,57;;0,3;0,09;
;CAT-4m;-9,15;-8,5;1,01;0,33;;0,65;0,4225;
;CAT-4b;-9,63;-10,22;1,17;-1,39;;0,59;0,3481;
;CAT-4p;-10,08;-9,79;1,24;-0,96;;0,29;0,0841;
;CAT-17f;-9,42;-10,45;1,05;-1,62;;1,03;1,0609;
;CAT-4l;-9,34;-7,29;1,17;1,54;;2,05;4,2025;
;CAT-13g;-9,09;-10,07;1,12;-1,24;;0,98;0,9604;
;CAT-17e;-10,02;-10,47;1,05;-1,64;;0,45;0,2025;
;CAT-13b;-9,12;-8,92;1,51;-0,09;;0,2;0,04;
;CAT-4a;-7,93;-7,96;1,08;0,87;;0,03;0,0009;
;CAT-4k;-7,85;-7,41;1,11;1,42;;0,44;0,1936;
;CAT-13a;-8,84;-8,83;0;0;;0,01;0,0001;
;CAT-17d;-9,42;-7,93;1,22;0,9;;1,49;2,2201;
;CAT-13i;-9,27;-10,43;1,51;-1,6;;1,16;1,3456;
;CAT-17c;-9,86;-10,9;1,07;-2,07;;1,04;1,0816;
;CAT-24;-11,35;-12,35;0,99;-3,52;;1;1;
;CAT-13m;-8,76;-10,11;0,71;-1,28;;1,35;1,8225;
;CAT-4i;-8,26;-7,02;0,85;1,81;;1,24;1,5376;
;CAT-4j;-9,02;-7,94;1,14;0,89;;1,08;1,1664;
;CAT-13f;-9,09;-10,24;1,2;-1,41;;1,15;1,3225;
;CAT-13n;-8,54;-6,77;0,71;2,06;;1,77;3,1329;
;CAT-13h;-9,63;-9,26;1,3;-0,43;;0,37;0,1369;
;CAT-13d;-10,47;-10,5;1,05;-1,67;;0,03;0,0009;
;CAT-4d;-9,11;-10,16;1,13;-1,33;;1,05;1,1025;
;CAT-17i;-9,47;-9,35;0,92;-0,52;;0,12;0,0144;
;CAT-17a;-10,73;-11,29;1,19;-2,46;;0,56;0,3136;
;CAT-17g;-9,74;-9,09;0,92;-0,26;;0,65;0,4225;
;CAT-4c;-7,85;-7,52;1,11;1,31;;0,33;0,1089;
;CAT-17h;-10,33;-10,38;1,01;-1,55;;0,05;0,0025;
;CAT-13j;-8,73;-8,74;1,17;0,09;;0,01;0,0001;
;CAT-13c;-9,32;-9,32;1,2;-0,49;;0;0;
;CAT-13o;-8,54;-8,34;0,97;0,49;;0,2;0,04;
;CAT-4n;-9,09;-9,28;1,24;-0,45;;0,19;0,0361;
;;;;;;;;;
CDK2;17;-7,04;-9,06;0,4;-0,91;;2,02325;4,0935405625;
;20;-8,72;-8,69;0,43;-0,54;;0,02375;0,0005640625;
;21;-7,83;-8,46;0,47;-0,31;;0,63625;0,4048140625;
;22;-7,86;-8,98;0,57;-0,83;;1,12225;1,2594450625;
;26;-8,43;-8,79;0,48;-0,64;;0,36325;0,1319505625;
;28;-11,11;-10,29;0,83;-2,14;;0,81775;0,6687150625;
;29;-9,88;-9,11;0,82;-0,96;;0,76775;0,5894400625;
;30;-9,81;-8,81;0,94;-0,66;;0,99775;0,9955050625;
;31;-9,54;-9,01;0,83;-0,86;;0,52475;0,2753625625;
;32;-9,75;-9,45;0,94;-1,3;;0,29575;0,0874680625;
;1h1q;-8,18;-8,15;0;0;;0,02475;0,0006125625;
;1h1r;-7,67;-8,84;0,53;-0,69;;1,17525;1,3812125625;
