SMILES,ID,MolWt,LogP,HBD,HBA,RotatableBonds,TPSA,Volume,LipinskiViolations,NumAtoms,Exp. dG,Pred. dG
CN1C(=[NH+][C@@](c2cccc(c3cccc(Cl)c3)c2)(C2CCCC2)C1=O)N,CAT-13f,368.89,2.26,2,2,3,60.3,221.78,0,26,-9.09,-10.24
CN1C(=[NH+][C@@](c2cccc(c3cccc(Cl)c3)c2)(C2CC2)C1=O)N,CAT-13d,340.83,1.48,2,2,3,60.3,204.89,0,24,-10.47,-10.5
COc1ccc(c2cccc([C@@]3(c4ccccc4)[NH+]=C(N)N(C)C3=O)c2)cc1,CAT-4c,372.45,1.47,2,3,4,69.53,224.2,0,28,-7.85,-7.52
CC[C@]1(c2cccc(c3cccc(Cl)c3)c2)[NH+]=C(N)N(C)C1=O,CAT-13b,328.82,1.48,2,2,3,60.3,197.66,0,23,-9.12,-8.92
CN1C(=[NH+][C@](c2ccccc2)(c2cccc(c3cnccn3)c2)C1=O)N,CAT-4l,344.4,0.25,2,4,3,86.08,207.32,0,26,-9.34,-7.29
CN1C(=[NH+][C@](c2cncnc2)(c2cccc(c3cccc(Cl)c3)c2)C1=O)N,CAT-13m,378.84,0.91,2,4,3,86.08,227.78,0,27,-8.76,-10.11
CN1C(=[NH+][C@](c2ccccc2)(c2cccc(c3ccncc3)c2)C1=O)N,CAT-4k,343.41,0.86,2,3,3,73.19,206.72,0,26,-7.85,-7.41
CN1C(=[NH+][C@@](c2cccc(c3cccc(Cl)c3)c2)(c2ncccn2)C1=O)N,CAT-13n,378.84,0.91,2,4,3,86.08,227.78,0,27,-8.54,-6.77
CN1C(=[NH+][C@@](c2cccc(c3cccc(Cl)c3)c2)(c2nccs2)C1=O)N,CAT-13o,383.88,1.57,2,4,3,73.19,230.77,0,26,-8.54,-8.34
CN1C(=[NH+][C@](C)(c2cccc(c3cccc(Cl)c3)c2)C1=O)N,CAT-13a,314.8,1.09,2,2,2,60.3,189.22,0,22,-8.84,-8.83
CN1C(=[NH+][C@](c2cccnc2)(c2cccc(c3cccc(Cl)c3)c2)C1=O)N,CAT-13k,377.86,1.51,2,3,3,73.19,227.18,0,27,-9.7,-9.4
CN1C(=[NH+][C@@](c2cccc(c3cc(Cl)cc(Cl)c3)c2)(C2CC2)C1=O)N,CAT-17a,375.28,2.13,2,2,3,60.3,225.35,0,25,-10.73,-11.29
CN1C(=[NH+][C@@](c2cccc(c3cncc(C#N)c3)c2)(C2CC2)C1=O)N,CAT-17f,332.39,0.09,2,4,3,96.98,200.09,0,25,-9.42,-10.45
